,Track Name,Artist Name,Album,Album Release Date,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time Signature,Artist Popularity,Track Popularity,Track URI,Artist URI
30,Fall for You,Sarah Kang,Fall for You,2021-10-08,nyc pop,0.574,0.462,1,-7.928,1,0.0324,0.661,2.71e-05,0.0855,0.501,139.909,175942,4,56,62,spotify:track:1tyxZ2buhi3Zn32j5LEpb5,spotify:artist:0MBNzfGHTiPYag4DupDXUj
31,the perfect pair,beabadoobee,Beatopia,2022-07-15,"bedroom pop, bubblegrunge, indie pop, pov: indie",0.634,0.663,11,-6.818,1,0.0331,0.433,0.124,0.102,0.6,146.053,177533,4,77,79,spotify:track:41P6Tnd8KIHqON0QIydx6a,spotify:artist:35l9BRT7MXmM8bv2WDQiyB
32,Take Me To Church,Hozier,Hozier (Deluxe),2014-05-20,"irish singer-songwriter, modern rock, pov: indie",0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945,241688,4,87,0,spotify:track:7dS5EaCoMnN7DzlpT6aRn2,spotify:artist:2FXC3k01G6Gw61bmprjgqS
33,Cooler Than Me - Single Mix,Mike Posner,31 Minutes to Takeoff,2010-08-09,"dance pop, pop, pop dance, pop rap",0.768,0.82,7,-4.63,0,0.0474,0.179,0.0,0.689,0.625,129.965,213293,4,70,79,spotify:track:2V4bv1fNWfTcyRJKmej6Sj,spotify:artist:2KsP6tYLJlTBvSUxnwlVWa
34,See You Again (feat. Kali Uchis),"Tyler, The Creator",Flower Boy,2017-07-21,"hip hop, rap",0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,180387,4,85,89,spotify:track:7KA4W4McWYRpgf0fWsJZWB,spotify:artist:4V8LLVI7PbaPR0K2TGSxFF
35,Pompeii,Bastille,Bad Blood,2013-01-01,"metropopolis, modern rock, pop",0.679,0.715,9,-6.383,1,0.0407,0.0755,0.0,0.271,0.571,127.435,214148,4,76,73,spotify:track:3gbBpTdY8lnQwqxNCcf795,spotify:artist:7EQ0qTo7fWT7DPxmxtSYEc
36,Hips Don't Lie (feat. Wyclef Jean),Shakira,"Oral Fixation, Vol. 2 (Expanded Edition)",2005-11-28,"colombian pop, dance pop, latin pop, pop",0.778,0.824,10,-5.892,0,0.0707,0.284,0.0,0.405,0.758,100.024,218093,4,87,87,spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,spotify:artist:0EmeFodog0BfCgMzAIvKQp
37,Hall of Fame (feat. will.i.am),The Script,#3 Deluxe Version,2012-09-10,"celtic rock, pop",0.421,0.873,10,-4.343,1,0.0564,0.0654,0.0,0.123,0.629,84.786,202533,4,74,82,spotify:track:7wMq5n8mYSKlQIGECKUgTX,spotify:artist:3AQRLZ9PuTAozP28Skbq8V
38,Back Where I Belong (feat. Avicii),Otto Knows,Back Where I Belong (feat. Avicii),2016-06-03,"dutch house, edm, electro house, pop dance, progressive electro house",0.497,0.865,0,-3.19,1,0.0644,0.0306,0.0679,0.443,0.595,125.96,174203,4,59,52,spotify:track:78W8wiUIlQ2SnWY9TVowKZ,spotify:artist:5fahUm8t5c0GIdeTq0ZaG8
39,The Heart Wants What It Wants,Selena Gomez,The Heart Wants What It Wants,2014-01-01,"pop, post-teen pop",0.616,0.789,7,-4.874,0,0.0377,0.053,0.0,0.142,0.621,83.066,227373,4,82,0,spotify:track:2jcPoPin36hyNRSi4ZsqeB,spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx
40,Dynamite,Taio Cruz,The Rokstarr Hits Collection,2010-01-01,"dance pop, pop, pop rap",0.751,0.783,4,-3.724,1,0.0859,0.00379,0.0,0.036,0.816,119.975,202613,4,70,76,spotify:track:2CEgGE6aESpnmtfiZwYlbV,spotify:artist:6MF9fzBmfXghAz953czmBC
41,Bumpy Ride,Mohombi,Bumpy Ride,2010-01-01,,0.709,0.854,0,-4.447,0,0.0399,0.047,0.0,0.0724,0.826,105.074,224402,4,57,0,spotify:track:0tBRo4P60DgKmg4jt48upm,spotify:artist:37GUqxafAvAKGMZbXCUnmr
42,Danza Kuduro (feat. Don Omar),Lucenzo,Danza Kuduro (feat. Don Omar),2011-06-27,reggaeton,0.706,0.89,0,-6.575,1,0.0847,0.0855,0.0,0.0465,0.896,130.051,202347,4,70,0,spotify:track:1kAZhbcsXqfUjnVeqPywn2,spotify:artist:5bv5RplEOwdCvhq0EILh9E
43,Syypää sun hymyyn (feat. Yasmine Yamajako),Cheek,Sokka irti,2012-04-04,"finnish dance pop, finnish hip hop, finnish pop",0.472,0.815,9,-4.002,0,0.319,0.171,0.0,0.265,0.81,98.017,230413,4,54,48,spotify:track:2N2QvMYwyYHE8V4KZbbG4i,spotify:artist:5ZZqIQ25HQmufjjf2trwFO
44,Whistle,Flo Rida,Whistle,2012-04-24,"dance pop, miami hip hop, pop, pop rap",0.754,0.933,0,-5.786,1,0.0448,0.0199,0.0,0.297,0.75,103.992,225000,4,80,56,spotify:track:0ltBH1JNzSvQJPjJpvTu9B,spotify:artist:0jnsk9HBra6NMjO2oANoPY
45,Girlfriend,Avril Lavigne,The Best Damn Thing,2007-04-17,"canadian pop, candy pop, dance pop, pop",0.56,0.959,7,-2.433,1,0.102,0.000738,0.000206,0.209,0.67,163.983,216600,4,76,0,spotify:track:5HbCnVLXRyZVxnreOPgJCK,spotify:artist:0p4nmQO2msCgU4IF37Wi3j
46,Baby,Justin Bieber,Baby,2010-01-01,"canadian pop, pop",0.463,0.854,8,-5.386,1,0.32,0.0428,0.0,0.0922,0.567,65.038,216520,4,89,0,spotify:track:4NFhtFE68cXUrfbne8JE2c,spotify:artist:1uNFoZAHBGtllmzznpCI3s
47,I Cry,Flo Rida,Wild Ones (Deluxe),2012-06-22,"dance pop, miami hip hop, pop, pop rap",0.693,0.822,4,-5.441,0,0.0439,0.00616,1.79e-06,0.315,0.763,126.035,223800,4,80,29,spotify:track:5HE3z4Ew7wZ91l3ZOpGKa4,spotify:artist:0jnsk9HBra6NMjO2oANoPY
48,Coconut Tree,Mohombi,MoveMeant (International),2010-01-01,,0.687,0.855,7,-5.341,0,0.0416,0.0486,0.0,0.233,0.647,130.029,218373,4,57,0,spotify:track:5L9THbmMKB6ZlHlMgzaXHf,spotify:artist:37GUqxafAvAKGMZbXCUnmr
49,One Less Lonely Girl,Justin Bieber,My Worlds (International Version),2010-01-01,"canadian pop, pop",0.58,0.75,4,-4.421,1,0.194,0.159,0.0,0.274,0.728,86.938,229107,4,89,0,spotify:track:7qUcqYzOtfZe65bednDxmz,spotify:artist:1uNFoZAHBGtllmzznpCI3s
50,Romeo ja Julia (feat. Sophie),Pikku G,Räjähdysvaara,2003-05-23,"finnish dance pop, finnish hip hop, finnish pop",0.695,0.628,11,-6.498,0,0.0442,0.0539,0.0,0.32,0.529,144.114,236200,4,38,35,spotify:track:0seHreoI3kwp38OlEgLLnT,spotify:artist:52k2KcEXIZTnYD2EpOoJiZ
51,Don't You Worry Child - Radio Edit,Swedish House Mafia,Until Now (Deluxe Version),2012-01-01,"edm, pop dance, progressive electro house",0.608,0.828,2,-3.597,1,0.051,0.125,0.0,0.113,0.484,128.919,212841,4,75,0,spotify:track:5DcPOPPUnNhyPYbTi2aWjR,spotify:artist:1h6Cn3P4NGzXbaXidqURXs
52,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,The Heist,2012-10-09,"pop rap, seattle hip hop",0.641,0.922,2,-4.457,1,0.0786,0.0291,0.0,0.0862,0.847,146.078,258343,4,74,80,spotify:track:3bidbhpOYeV4knp8AIu8Xn,spotify:artist:5BcAKTbp20cv7tC5VqPFoC
53,She Wolf (Falling to Pieces) [feat. Sia],David Guetta,Nothing but the Beat 2.0,2011-08-24,"big room, dance pop, edm, pop, pop dance",0.491,0.857,7,-2.634,1,0.0656,0.0834,7.57e-06,0.344,0.395,129.971,222500,4,88,50,spotify:track:1HfPcQ3c2HyGeID3u1lmCa,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai
54,Radioactive,Imagine Dragons,Night Visions (Deluxe),2012-09-04,"modern rock, pop, rock",0.473,0.777,9,-3.698,1,0.059,0.119,7.87e-05,0.671,0.21,136.249,186813,4,87,0,spotify:track:6Ep6BzIOB9tz3P4sWqiiAB,spotify:artist:53XhwfbYqKCa1cC15pYq2q
55,Whistle,Flo Rida,Wild Ones,2012-06-22,"dance pop, miami hip hop, pop, pop rap",0.747,0.937,0,-5.746,1,0.0453,0.0208,0.0,0.29,0.739,103.976,224653,4,80,79,spotify:track:3bC1ahPIYt1btJzSSEyyrF,spotify:artist:0jnsk9HBra6NMjO2oANoPY
56,I Need Your Love (feat. Ellie Goulding),Calvin Harris,18 Months,2012-10-29,"dance pop, edm, electro house, house, pop, pop dance, progressive house, uk dance",0.695,0.869,8,-5.066,1,0.0483,0.41,0.0,0.237,0.58,124.989,234507,4,86,73,spotify:track:05SBRd4fXgn8FX7bf8BCAE,spotify:artist:7CajNmpbOovFoOoasH2HaY
57,Timber,Pitbull,Global Warming: Meltdown (Deluxe Version),2012,"dance pop, miami hip hop, pop",0.581,0.963,11,-4.087,1,0.0981,0.0295,0.0,0.139,0.788,129.992,204160,4,84,84,spotify:track:3cHyrEgdyYRjgJKSOiOtcS,spotify:artist:0TnOYISbd1XYRBk9myaseg
58,Scream & Shout,will.i.am,#willpower,2013-01-01,"dance pop, pop",0.772,0.685,5,-6.849,1,0.0696,0.019,8.96e-05,0.131,0.501,130.033,283400,4,73,80,spotify:track:2iJuuzV8P9Yz0VSurttIV5,spotify:artist:085pc2PYOi8bGKj0PNjekA
59,Wake Me Up - Radio Edit,Avicii,True,2013-01-01,"dance pop, edm, pop, pop dance",0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427,4,81,24,spotify:track:6g1NlCpW7fgqDnWbCCDrHl,spotify:artist:1vCWHaC5f2uS3yhpwWbIA6
60,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,The Heist,2012-10-10,"pop rap, seattle hip hop",0.781,0.526,6,-6.985,0,0.293,0.0619,0.0,0.0457,0.662,94.992,235613,4,74,0,spotify:track:4YMqbFcDIFiCBd02PzUBcM,spotify:artist:5BcAKTbp20cv7tC5VqPFoC
61,Play Hard (feat. Ne-Yo & Akon),David Guetta,Nothing but the Beat (Ultimate Edition),2012-12-07,"big room, dance pop, edm, pop, pop dance",0.691,0.921,8,-1.702,0,0.0533,0.173,0.0,0.331,0.8,130.072,201000,4,88,73,spotify:track:5YPMEOJ58kfl56VHxTgwx3,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai
62,Superheroes,The Script,No Sound Without Silence,2014-09-15,"celtic rock, pop",0.49,0.885,3,-4.121,1,0.0396,0.00218,0.0,0.0741,0.64,166.996,245467,4,74,74,spotify:track:37sINbJZcFdHFAsVNsPq1i,spotify:artist:3AQRLZ9PuTAozP28Skbq8V
63,I Cry,Flo Rida,Wild Ones,2012-06-22,"dance pop, miami hip hop, pop, pop rap",0.693,0.822,4,-5.441,0,0.0439,0.00616,1.79e-06,0.315,0.763,126.035,223800,4,80,60,spotify:track:3zrYNl1aMdFrQkcOjKVr5u,spotify:artist:0jnsk9HBra6NMjO2oANoPY
64,Counting Stars,OneRepublic,Native,2014-01-01,"piano rock, pop",0.663,0.705,1,-4.972,0,0.0385,0.0654,0.0,0.117,0.477,122.014,257387,4,83,61,spotify:track:1QzFhzIOW7CyRJLpmq5CM0,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ
65,Gangnam Style (강남스타일),PSY,Gangnam Style (강남스타일),2012-01-01,"k-rap, korean old school hip hop",0.727,0.938,11,-2.872,0,0.288,0.00432,0.0,0.0911,0.757,132.077,219493,4,63,0,spotify:track:1R2SZUOGJqqBiLuvwKOT2Y,spotify:artist:2dd5mrQZvg6SmahdgVKDzh
66,Feel This Moment (feat. Christina Aguilera),Pitbull,Global Warming,2012-11-16,"dance pop, miami hip hop, pop",0.668,0.758,7,-3.589,1,0.158,0.0338,0.0,0.204,0.531,135.958,229507,4,84,52,spotify:track:4yOn1TEcfsKHUJCL2h1r8I,spotify:artist:0TnOYISbd1XYRBk9myaseg
67,Capsize,FRENSHIP,Capsize,2016-04-15,"electropop, indie poptimism, la pop",0.681,0.708,5,-6.019,0,0.0304,0.042,0.14,0.682,0.356,92.993,237760,4,52,0,spotify:track:3GBlLqIYgB8zWaeWDNJzdh,spotify:artist:7xEFii6utZmQ61kX59HmLH
68,Magical,Tungevaag,Magical,2016-05-27,"big room, nordic house",0.504,0.912,1,-2.867,1,0.259,0.199,0.0,0.105,0.248,189.983,218539,4,63,33,spotify:track:43lwHSTEexXRVVeXZtAtfi,spotify:artist:49CE2ffZ6Z3zeYSDauSKck
69,Bleeding Love,Leona Lewis,Spirit,2007,"british soul, dance pop, pop, talent show",0.635,0.647,5,-5.864,1,0.0366,0.192,0.0,0.154,0.201,104.058,262693,4,65,65,spotify:track:6LtPIXlIzPOTF8vTecYjRe,spotify:artist:5lKZWd6HiSCLfnDGrq9RAm
70,Drop That Low (When I Dip),Tujamo,Drop That Low (When I Dip),2016-04-01,"dutch house, edm, electro house, melbourne bounce, pop dance, progressive electro house",0.579,0.896,5,-4.132,0,0.373,0.00945,0.836,0.121,0.103,125.672,160000,4,61,0,spotify:track:48kF7W23OIcVBsNY5UesuQ,spotify:artist:2vVNxGBvKRQMWwI5c8KmYh
71,Perfect Strangers,Jonas Blue,Perfect Strangers,2016-06-03,"pop, pop dance, tropical house, uk dance",0.742,0.819,1,-5.307,1,0.0487,0.372,0.0,0.277,0.709,117.986,196613,4,74,0,spotify:track:1CUVN2kn7mW5FjkqXTR2W1,spotify:artist:1HBjj22wzbscIZ9sEb5dyf
72,Thinking About You,Axwell /\ Ingrosso,Thinking About You,2016-05-27,"edm, pop dance, progressive electro house",0.69,0.811,8,-5.475,1,0.058,0.044,0.0,0.205,0.521,122.001,204590,4,66,0,spotify:track:3eBwnjEe60kDJAMlFg1ewf,spotify:artist:2XnBwblw31dfGnspMIwgWz
73,Please Don't Go,Joel Adams,Please Don't Go,2015-11-06,"australian pop, pop soul",0.513,0.768,4,-4.868,0,0.0587,0.0118,1.94e-05,0.294,0.235,84.264,210580,4,51,68,spotify:track:3cNjgVBKTJ1SvKhunrCdVy,spotify:artist:36jaGQtMj5UWD0eO1fCVdD
74,Lions in the Wild,Martin Garrix,Lions in the Wild,2016-05-27,"dutch edm, edm, pop, pop dance, progressive house",0.504,0.847,7,-6.81,0,0.0442,0.00434,0.0,0.816,0.28,127.854,211890,4,75,0,spotify:track:6F1kPSgdnlSzZRfskE9vaV,spotify:artist:60d24wfXkVzDSfLS6hyCjZ
75,Never Be Like You,Flume,Skin,2016-05-27,"australian dance, australian electropop, australian indie, downtempo, edm, indietronica",0.494,0.559,0,-5.445,1,0.0565,0.436,0.0,0.164,0.264,119.247,233337,4,72,0,spotify:track:12REd1n8PeiHHWOh066tpr,spotify:artist:6nxWCVXbOlEVRexSbLsTer
76,Treat You Better,Shawn Mendes,Treat You Better,2016-06-03,"canadian pop, pop, viral pop",0.45,0.825,10,-4.066,0,0.372,0.121,0.0,0.109,0.742,82.823,187973,4,82,0,spotify:track:53B2XmmjJ9rriW1qciMBeX,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr
77,Heathens,Twenty One Pilots,Heathens,2016-06-16,"modern rock, pop, pov: indie, rock",0.732,0.396,4,-9.348,0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,195920,4,82,81,spotify:track:6i0V12jOa3mr6uu4WYhUBr,spotify:artist:3YQKmKGau1PzlVlkL1iodx
78,Send My Love (To Your New Lover),Adele,25,2015-11-20,"british soul, pop, pop soul, uk pop",0.688,0.532,6,-8.361,0,0.0875,0.0356,3.08e-06,0.172,0.565,164.068,223079,4,85,0,spotify:track:3KZcrZ36LW9RnChK1iIkth,spotify:artist:4dpARuHxo51G3z768sgnrY
79,When We Were Young,Adele,25,2015-11-20,"british soul, pop, pop soul, uk pop",0.377,0.595,3,-5.936,1,0.0489,0.303,0.0,0.095,0.264,144.464,290900,4,85,0,spotify:track:0cj2joJcY6b4XSRfj2eZOl,spotify:artist:4dpARuHxo51G3z768sgnrY
80,Someone Like You,Adele,21,2011-01-19,"british soul, pop, pop soul, uk pop",0.554,0.321,9,-8.251,1,0.028,0.893,0.0,0.0996,0.288,135.047,285240,4,85,0,spotify:track:6QPKYGnAW9QozVz2dSWqRg,spotify:artist:4dpARuHxo51G3z768sgnrY
81,Set Fire to the Rain,Adele,21,2011-01-19,"british soul, pop, pop soul, uk pop",0.603,0.67,2,-3.882,0,0.0249,0.00408,1.66e-06,0.112,0.445,107.995,242974,4,85,0,spotify:track:5PKWUDfQFtc5qqo8cs1gQp,spotify:artist:4dpARuHxo51G3z768sgnrY
82,Apologize,OneRepublic,Dreaming Out Loud,2007-01-01,"piano rock, pop",0.593,0.74,8,-6.12,1,0.0339,0.363,2.22e-05,0.102,0.502,118.008,208107,4,83,70,spotify:track:1NrJYpdAi7uosDRPmSYrsG,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ
83,Onnelliseksi,Juju,Julius Kivi on hullu,2014-05-31,"finnish dance pop, finnish hip hop",0.645,0.434,0,-7.791,1,0.0399,0.00187,0.00226,0.124,0.249,100.01,213013,4,37,32,spotify:track:6hvNLxrHBdR1qzdrKasCPE,spotify:artist:4wKjWfqZbq8A1iExbdFDXa
84,Chasing Cars,Snow Patrol,Eyes Open,2006-01-01,"irish rock, modern rock, neo mellow, permanent wave, pop rock",0.563,0.592,9,-4.571,1,0.0276,0.209,5.08e-05,0.132,0.136,104.016,267933,4,68,2,spotify:track:11bD1JtSjlIgKgZG2134DZ,spotify:artist:3rIZMv9rysU7JkLzEaC5Jp
85,Say Something,A Great Big World,Is There Anybody Out There?,2014-01-20,"neo mellow, piano rock, pop rock, viral pop",0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,229400,3,60,72,spotify:track:6Vc5wAMmXdKIAM7WUoEb7N,spotify:artist:5xKp3UyavIBUsGy3DQdXeF
86,Go Hard or Go Home,Wiz Khalifa,Furious 7: Original Motion Picture Soundtrack,2015-03-17,"hip hop, pittsburgh rap, pop rap, rap, southern hip hop, trap",0.651,0.741,4,-5.067,0,0.0408,0.00293,1.2e-05,0.217,0.386,168.02,232773,4,81,56,spotify:track:2QJnTfMpNG05KFf2E3gVIJ,spotify:artist:137W8MRPWKqSmrBGDBFSop
